dataset_key,method,location,concurrency,batch_size,n_entities,rep,layout,mb_per_entity,tiled_version,url,wall_s,entities,errors,payload_mb,wire_mb,payload_mbps,wire_mbps,ent_per_s,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s,app_frac
EGRESS_PE_1M,export_hdf5,remote,2,20,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,3.2070464622229338,100,0,104.8576,105.120568,32.696002766146066,32.77799970728727,31.18133808722121,774.2548082023859,848.3758736401796,848.3758736401796,768.9,3.8304,0.025030252850055716,0.0,0.11686159856617451,0.5971849870464606
EGRESS_PE_1M,export_hdf5,remote,2,20,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,3.224469657987356,100,0,104.8576,105.120568,32.51933220716049,32.60088608357815,31.012851912651527,703.3258527517319,851.626044139266,851.626044139266,699.0,3.7055,0.02445649464428425,0.0,0.16884937696158886,0.5745906138116512
EGRESS_PE_1M,export_hdf5,remote,4,20,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,2.1470546387135983,100,0,104.8576,105.120568,48.837881490908465,48.96035997620568,46.57543324557158,701.6897015273571,826.3239804655313,826.3239804655313,697.2,3.5776,0.02337846575081346,0.0,0.14584136940538883,0.4165706749483922
EGRESS_PE_1M,export_hdf5,remote,4,20,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,2.125648131594062,100,0,104.8576,105.120568,49.3297072273977,49.453419141938696,47.04447481860895,806.1659093946218,1517.9404839873314,1517.9404839873314,801.3,5.192399999999999,0.026917231327295326,0.0,0.13770004361867905,0.6106843276203626
EGRESS_PE_1M,export_hdf5,remote,8,20,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,1.826191483065486,100,0,104.8576,105.120568,57.41873235767351,57.56273040083522,54.75877033011771,909.9119585007429,1438.23760189116,1438.23760189116,905.5,5.418699999999999,0.024132591012120203,0.0,0.1769109908491373,0.37090168598476103
EGRESS_PE_1M,export_hdf5,remote,8,20,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,1.8783218190073967,100,0,104.8576,105.120568,55.82515144045563,55.96515300852503,53.2390131382519,1214.693496003747,1285.42092256248,1285.42092256248,1209.6,5.6867,0.026316010820865814,0.0,0.1516086906194687,0.37844287001662136
EGRESS_PE_1M,export_hdf5,remote,16,20,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,1.6574779115617275,100,0,104.8576,105.120568,63.263346840743054,63.4220023487083,60.332629051917124,669.9351668357849,1271.7586886137724,1271.7586886137724,664.7,4.4407,0.02742016889452941,0.0,0.23422347381711006,0.1674494411442802
EGRESS_PE_1M,export_hdf5,remote,16,20,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,1.7784114889800549,100,0,104.8576,105.120568,58.96138247517585,59.109249266202276,56.22995612638078,894.2444045096636,1346.3950976729393,1346.3950976729393,888.8,4.8889,0.02658334062099459,0.0,0.18037455901503563,0.17181414531641437
EGRESS_PE_1M,raw_read,remote,2,1,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,11.82745978794992,100,0,104.8576,104.8576,8.865606130137197,8.865606130137197,8.454900865685651,75.84370486438274,156.26859664916992,224.46252405643463,72.0,8.3696,0.6041103749066592,11.651018388569355,0.0,0.3538206914272131
EGRESS_PE_1M,raw_read,remote,2,1,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,11.616003355011344,100,0,104.8576,104.8576,9.026994637941684,9.026994637941684,8.608812940541918,77.19524390995502,163.13205286860466,195.76179422438145,73.6,8.66,0.46796510383486756,11.19401116669178,0.0,0.37276160032546507
EGRESS_PE_1M,raw_read,remote,4,1,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,6.416784204542637,100,0,104.8576,104.8576,16.341144825435787,16.341144825435787,15.584130120693004,81.29157312214375,167.8373236209154,208.69291201233864,76.0,8.9771,0.5270937064379454,12.897052511572838,0.0,0.3497507362661829
EGRESS_PE_1M,raw_read,remote,4,1,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,6.544530376791954,100,0,104.8576,104.8576,16.022173320769255,16.022173320769255,15.279935189027075,80.78776858747005,182.43687972426414,221.1967594921589,76.1,9.1023,0.6493155093908309,13.300961587578058,0.0,0.34770638517770286
EGRESS_PE_1M,raw_read,remote,8,1,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,3.940117696300149,100,0,104.8576,104.8576,26.612809078892095,26.612809078892095,25.37995250596246,106.54970072209835,176.4642372727394,318.1116357445717,101.0,10.7134,0.5777102455109356,15.284388845786452,0.0,0.3398819789717228
EGRESS_PE_1M,raw_read,remote,8,1,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,3.8207473400980234,100,0,104.8576,104.8576,27.444264345757503,27.444264345757503,26.172890039212707,88.95487524569035,171.50605469942093,194.65442188084126,82.3,9.795200000000001,0.5798271741300821,15.040378665551543,0.0,0.32046086564012044
EGRESS_PE_1M,raw_read,remote,16,1,100,0,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,2.6887826547026634,100,0,104.8576,104.8576,38.99816886151238,38.99816886151238,37.19155203009832,139.27980326116085,292.0883856713772,372.3684661090374,128.2,14.3073,1.0774809303551913,20.196229718625546,0.0,0.3325691827251411
EGRESS_PE_1M,raw_read,remote,16,1,100,1,per_entity,1.048576,0.2.9,https://lcls-data-portal.slac.stanford.edu/tiled-test,3.2414272520691156,100,0,104.8576,104.8576,32.349206644408184,32.349206644408184,30.850607532890496,149.28337559103966,338.3626136928797,423.05165342986584,142.2,16.3612,0.8947413742274046,24.511438999325037,0.0,0.315470599979455
