layout,n_entities,location,write_path,max_workers,rep,dataset_key,tiled_version,tcb_sha,wall_s,entities,artifacts,skipped,art_failed,entities_per_s,artifacts_per_s,nodes_per_s,call_p50_ms,call_p95_ms,call_p99_ms,app_dur_p50_ms,app_dur_p95_ms
per_entity,10,local,stock,8,0,regbench_per_entity_n10_local_w8_r0_1787124701170,0.2.13,9e36bcd,5.356393122114241,10,10,0,0,1.8669279442381301,1.8669279442381301,3.7338558884762603,165.92158563435078,401.6581019386649,500.35893358290195,159.5,395.9
per_entity,10,local,stock,8,1,regbench_per_entity_n10_local_w8_r1_1787124706639,0.2.13,9e36bcd,0.9497999548912048,10,10,0,0,10.528532822625216,10.528532822625216,21.057065645250432,137.34970893710852,592.7129592746496,650.5608214065433,131.9,591.0
per_entity,10,local,stock,8,2,regbench_per_entity_n10_local_w8_r2_1787124707825,0.2.13,9e36bcd,0.9545219615101814,10,10,0,0,10.47644831993039,10.47644831993039,20.95289663986078,169.8533045127988,550.4625560715795,682.7843943610787,168.1,549.5
per_entity,10,local,stock,8,3,regbench_per_entity_n10_local_w8_r3_1787124708863,0.2.13,9e36bcd,1.0645880782976747,10,10,0,0,9.393304512662269,9.393304512662269,18.786609025324537,103.21706626564264,720.7579454407096,854.984282515943,99.9,716.5
per_entity,10,local,stock,8,4,regbench_per_entity_n10_local_w8_r4_1787124710025,0.2.13,9e36bcd,0.972044087946415,10,10,0,0,10.28759921900915,10.28759921900915,20.5751984380183,146.25114761292934,588.4832665324211,655.1726469770074,144.5,582.9
per_entity,100,local,stock,8,0,regbench_per_entity_n100_local_w8_r0_1787124723442,0.2.13,9e36bcd,8.196441912092268,100,100,0,0,12.20041587221759,12.20041587221759,24.40083174443518,164.75055553019047,1190.586513839662,1785.4863004758954,163.7,1189.3
per_entity,100,local,stock,8,1,regbench_per_entity_n100_local_w8_r1_1787124731746,0.2.13,9e36bcd,8.187983626499772,100,100,0,0,12.213019048591864,12.213019048591864,24.426038097183728,149.53157305717468,1129.5233201235533,2298.2439137995243,148.3,1127.8
per_entity,100,local,stock,8,2,regbench_per_entity_n100_local_w8_r2_1787124740097,0.2.13,9e36bcd,8.423440613783896,100,100,0,0,11.871633526609381,11.871633526609381,23.743267053218762,178.13719995319843,974.6002433821559,1992.7213741466403,175.8,972.6
per_entity,100,local,stock,8,3,regbench_per_entity_n100_local_w8_r3_1787124748633,0.2.13,9e36bcd,8.119588238187134,100,100,0,0,12.31589546988248,12.31589546988248,24.63179093976496,153.09437736868858,1032.405924052,1889.433154836297,150.6,1031.1
per_entity,100,local,stock,8,4,regbench_per_entity_n100_local_w8_r4_1787124756835,0.2.13,9e36bcd,8.579863264225423,100,100,0,0,11.655197398886267,11.655197398886267,23.310394797772535,157.1309883147478,1215.4051531106234,2315.588938072324,156.1,1213.3
per_entity,1000,local,stock,8,0,regbench_per_entity_n1000_local_w8_r0_1787124785355,0.2.13,9e36bcd,90.8825138444081,1000,1000,0,0,11.003216765240577,11.003216765240577,22.006433530481154,183.21075849235058,1265.971027314663,2618.799587711692,181.2,1264.7
per_entity,1000,local,stock,8,1,regbench_per_entity_n1000_local_w8_r1_1787124876330,0.2.13,9e36bcd,89.72954653855413,1000,1000,0,0,11.144601065941302,11.144601065941302,22.289202131882604,191.95453077554703,1215.81060718745,2303.045965731144,190.5,1214.5
per_entity,1000,local,stock,8,2,regbench_per_entity_n1000_local_w8_r2_1787124966138,0.2.13,9e36bcd,88.46968828234822,1000,1000,0,0,11.303306470443657,11.303306470443657,22.606612940887313,188.57893720269203,1213.0730161443353,2485.037323087454,186.1,1212.1
batched,10,local,stock,8,0,regbench_batched_n10_local_w8_r0_1787125067351,0.2.13,9e36bcd,1.2977145882323384,10,10,0,0,7.705854654544142,7.705854654544142,15.411709309088284,198.78290593624115,649.5370408520103,768.5843873769045,197.8,648.5
batched,10,local,stock,8,1,regbench_batched_n10_local_w8_r1_1787125068735,0.2.13,9e36bcd,1.1418831581249833,10,10,0,0,8.757463431215143,8.757463431215143,17.514926862430286,163.95247355103493,626.3972502201796,825.7551230490208,157.5,625.4
batched,10,local,stock,8,2,regbench_batched_n10_local_w8_r2_1787125069968,0.2.13,9e36bcd,1.1875064922496676,10,10,0,0,8.421006592608629,8.421006592608629,16.842013185217258,277.6208659633994,551.0088764131069,663.4254651144147,276.4,547.9
batched,10,local,stock,8,3,regbench_batched_n10_local_w8_r3_1787125071253,0.2.13,9e36bcd,1.0801463359966874,10,10,0,0,9.258004833921566,9.258004833921566,18.516009667843132,179.05853036791086,560.6938479468226,738.4074237197638,177.9,557.1
batched,10,local,stock,8,4,regbench_batched_n10_local_w8_r4_1787125072417,0.2.13,9e36bcd,1.0929794199764729,10,10,0,0,9.149303104184026,9.149303104184026,18.298606208368053,129.00393083691597,746.4301185682416,850.3282675519586,124.8,738.2
batched,100,local,stock,8,0,regbench_batched_n100_local_w8_r0_1787125086395,0.2.13,9e36bcd,8.058108810335398,100,100,0,0,12.409859726855409,12.409859726855409,24.819719453710817,165.51848128437996,995.8094591274858,1734.7029885277152,163.5,994.8
batched,100,local,stock,8,1,regbench_batched_n100_local_w8_r1_1787125094545,0.2.13,9e36bcd,8.526549449190497,100,100,0,0,11.728073659326975,11.728073659326975,23.45614731865395,192.09650624543428,1173.3323549851775,1837.8301309421659,191.2,1170.0
batched,100,local,stock,8,2,regbench_batched_n100_local_w8_r2_1787125103157,0.2.13,9e36bcd,8.524681956507266,100,100,0,0,11.730642915500864,11.730642915500864,23.461285831001728,177.75075789541006,948.2091153040528,2201.5061993151903,175.5,947.0
